ID,Category,MaxCount,NameKey,DescKey
MATERIAL_001,일반,999,MATERIAL_NAME_001,MATERIAL_DESC_001
MATERIAL_002,일반,999,MATERIAL_NAME_002,MATERIAL_DESC_002
MATERIAL_003,일반,999,MATERIAL_NAME_003,MATERIAL_DESC_003
MATERIAL_004,일반,999,MATERIAL_NAME_004,MATERIAL_DESC_004
MATERIAL_005,일반,999,MATERIAL_NAME_005,MATERIAL_DESC_005
MATERIAL_006,일반,999,MATERIAL_NAME_006,MATERIAL_DESC_006
MATERIAL_007,일반,999,MATERIAL_NAME_007,MATERIAL_DESC_007
MATERIAL_008,퀘스트,999,MATERIAL_NAME_008,MATERIAL_DESC_008
MATERIAL_009,일반,999,MATERIAL_NAME_009,MATERIAL_DESC_009
MATERIAL_010,일반,999,MATERIAL_NAME_010,MATERIAL_DESC_010
MATERIAL_011,일반,999,MATERIAL_NAME_011,MATERIAL_DESC_011
MATERIAL_012,일반,999,MATERIAL_NAME_012,MATERIAL_DESC_012
MATERIAL_013,퀘스트,999,MATERIAL_NAME_013,MATERIAL_DESC_013
MATERIAL_014,일반,999,MATERIAL_NAME_014,MATERIAL_DESC_014
MATERIAL_015,일반,999,MATERIAL_NAME_015,MATERIAL_DESC_015
MATERIAL_016,일반,999,MATERIAL_NAME_016,MATERIAL_DESC_016
MATERIAL_017,일반,999,MATERIAL_NAME_017,MATERIAL_DESC_017
MATERIAL_018,일반,999,MATERIAL_NAME_018,MATERIAL_DESC_018
MATERIAL_019,퀘스트,999,MATERIAL_NAME_019,MATERIAL_DESC_019
MATERIAL_020,일반,999,MATERIAL_NAME_020,MATERIAL_DESC_020
MATERIAL_021,일반,999,MATERIAL_NAME_021,MATERIAL_DESC_021
MATERIAL_022,일반,999,MATERIAL_NAME_022,MATERIAL_DESC_022
MATERIAL_023,일반,999,MATERIAL_NAME_023,MATERIAL_DESC_023
MATERIAL_024,일반,999,MATERIAL_NAME_024,MATERIAL_DESC_024
